date	concept	depth	subtopics	bridges	frontiers	domain_focus	note
2026-06-13	Depositor Segmentation (dedicated analysis)	quick	16	5	5	Thai DPA	4 clusters (customer-type / behavioral stability / regulatory coverage / channel+ecosystem); ⚠️ contested: digital adoption increases OR decreases stickiness (FDIC Koont 2024 vs. ecosystem loyalty camp); recent dev: FDIC 2024 digital depositors exit 23% faster in stress; 3 new score-10 nodes (digital-branch bifurcation, ecosystem stickiness, HNW dynamics); frontier queue rewritten to 25 items; removed from queue (expanded)
2026-06-13	Virtual Bank Entry — Unpriced Structural Break	quick	16	5	6	Thai banking	4 clusters; CLICX App launch 6 days away (19 Jun 2026); KakaoBank Korea precedent (26.7M customers, KRW 60T deposits, winner-take-most outcome); ⚠️ CLICX targeting paradox (unbanked claim vs Korea evidence = primarily banked youth); ⚠️ KTB self-competition (41% CLICX owner); 5 relationships added (4 speculative); practitioner–regulator 12-18 month model error window identified; 4 new high-priority frontier queue entries (KakaoBank study score 11, DFV erosion score 11, NMD recalibration triggers score 10, BOT supervisory response score 10)
2026-06-13	KakaoBank Korea — Incumbent Deposit Impact Study	quick	16	5	6	Korean banking → Thai banking inference	8 parallel knowledge-expander nodes; 4 clusters; confirmed KakaoBank targeted already-banked urban 20–40 cohort NOT unbanked (empirically invalidates CLICX "63% unbanked" claim); K Bank near-failure 2025 from Upbit deposit concentration (Score 11 new frontier); KakaoBank 2024-25 pivot: interest income –3.1%, non-interest +26.7%; 3 confirmed + 2 speculative relationships with [[virtual-bank-entry-structural-break]], [[deposit-beta]], [[non-maturity-deposits]]; ⚠️ contested: K Bank failure as model invalidation vs. idiosyncratic risk; ⚠️ CLICX unbanked claim vs. Korea evidence; 5 frontier queue entries added (K Bank concentration risk score 11, CLICX addressable market score 8, platform monetisation score 7, DiD methodology score 7, DFV elevated to score 11)
2026-06-13	K Bank — Neobank Deposit Concentration Risk	quick	16	5	6	Korean banking → Thai banking inference	4 clusters; peak Upbit concentration 24% (KRW 7T / KRW 28.57T); NIM collapse 2.4%→1.4% (2023–2025) from Virtual Asset User Protection Act forcing 0.1%→2.1% deposit rate; 3 IPO failures (2022–2025), listed Kospi March 2026; ⚠️ Hana Bank $670M Dunamu stake May 2026 = live threat to K Bank Upbit partnership; ⚠️ contested: idiosyncratic (crypto-specific) vs. generalizable concentration risk; 4 confirmed + 2 speculative relationships; 3 new frontier queue entries (Regulatory Design score 11, Hana/Dunamu scenario score 10, VAUPA deposit repricing score 9); CLICX-AIS/OR ownership is single-channel concentration analogue
2026-06-13	BaZi × AI / LLM Benchmarking	quick	6	3	5	—	Parent: Bazi; arXiv 2510.23337 + 2602.12889; China AI metaphysics market ¥12B (2024); Health-LLM Agent 81% accuracy; ⚠️ contested: AI benchmark ground truth is school-dependent; symbol grounding gap as AI capability probe; 2 next-topic nodes queued
2026-06-13	Mang Pai (盲派) — Blindman School	quick	7	3	5	—	Parent: Bazi; oral transmission by blind practitioners; imagery (象法) + poems (口訣) + special techniques (斷命秘訣); ⚠️ contested: rejects all Zi Ping vs. Li Fa + Xiang Fa + Ji Fa three-method foundation; no comparative accuracy study exists; 2 next-topic nodes queued
2026-06-13	Date Selection (擇日 / Zeri)	quick	8	3	5	—	Parent: Bazi + QMDJ; Tong Shu almanac + 28 Mansions + 12-day Yi-Jian-Po-Cheng cycle + Shen Sha + personal Bazi personalization layer; ⚠️ contested: generic Tong Shu vs. personalized reading; Dong Gong method as most sophisticated; 2 next-topic nodes queued
2026-06-13	Bazi Health × Five Elements × TCM	quick	8	3	5	—	Parent: Bazi; Five Elements → organ correspondence (Wood=Liver, Fire=Heart, Earth=Spleen, Metal=Lung, Water=Kidney); Luck Pillar decade timing; Health-LLM Agent (ResearchGate 2024) 81% accuracy; ⚠️ contested: constitutional map vs. unfalsifiable retroactive fit; birth time accuracy critical
2026-06-13	Compatibility Analysis (合盤)	quick	9	3	5	—	Parent: Bazi; 6 methods: Day Branch/Spouse Palace, DM comparison, EB interactions, UG complementarity, chart quality, 神煞; ⚠️ contested: DM-only is "wrong way" (masterseanchan.com); ⚠️ chart quality gating is school-dependent; AI calculators encode undisclosed rules; 2 next-topic nodes queued
2026-06-14	tong-shu	quick	10	4	5	Chinese metaphysics	Parent: date-selection-zeri; foundational almanac for all date selection; 28 Mansions + 12-Day Officer cycle + Shen Sha + Hour Stars; aW️ generic vs personalized debate; aW️ conflicting methods produce zero auspicious hours; precession drift in mansion calculation; 3 new frontier queue entries (B17, B18, B19)
2026-06-14	si-hua-flying-star	quick	8	4	5	Chinese metaphysics	Parent: zi-wei-dou-shu; Northern School ZWDS; 18 stars + 4 transformations (Lu/Quan/Ke/Ji); 10-Stem activation tables; chain reaction palace readings; aW️ San He vs Si Hua output-type conflict; aW️ lineage authentication crisis 2025-26; 2 new frontier queue entries (Z2, Z3)
2026-06-14	single-counterparty-deposit-concentration	quick	14	4	5	Thai banking	Basel LE asymmetry (25% credit limit vs. no deposit-side cap); K Bank/Upbit peaked 24%/current 18.4%; CLICX/AIS-OR as structural concentration from launch; ⚠️ contested: regulatory cap warranted vs. self-regulation camp; recent: Hana Bank $670M Dunamu stake May 2026 = live K Bank partnership cliff; 3 new frontier queue entries (Credit-Deposit Regulatory Symmetry score 11, CLICX Deposit Funding Structure score 10, BOT Liquidity Framework score 10); 7 depositor-segmentation sub-items removed from queue (wiki pages created 2026-06-14)
2026-06-14	credit-to-deposit-concentration-regulatory-symmetry	quick	14	4	5	regulatory / Thai banking	Basel LEX 25% Tier 1 credit cap has no deposit-side analogue; SVB (2023) = empirical proof; FSB 2024 Annual Report flags deposit vulnerability metrics gap; ⚠️ contested: hard cap warranted vs. self-regulation camp (KTB Paotang government deposits would violate 25% cap); Korea FSC raised DI coverage Sep 2025 citing internet bank concentration; 4 cross-domain bridges (insurance cession concentration, HHI, antitrust, ISDA margin); 3 new frontier queue entries (DI premium risk-differentiation score 11, Synapse/FDIC 2024 score 10, FSB vulnerability metrics score 9)
2026-06-14	deposit-insurance-premium-risk-differentiation	quick	16	4	5	Thai banking / DPA policy	DPA Act B.E. 2551 already authorizes differential rates by Royal Decree — 18 years unused; uninsured deposit share vs. single-entity concentration = distinct unmeasured metrics (key finding); FDIC 5–32 bps scorecard; IADI 58% global adoption; India April 2026 = freshest comparable; ⚠️ contested: risk-based premiums reduce moral hazard vs. too small to change behavior; actuarial pricing impossible (no historical loss database for deposit concentration); premium vs. hard cap = complements not substitutes; 2 new queue entries (Uninsured Share vs. Concentration score 11, DPA legislative authority score 11)
2026-06-14	uninsured-share-vs-concentration-distinct-metrics	quick	14	4	5	regulatory / Thai banking	Core finding: UDS (DI fund exposure) and SEDC (run velocity) are distinct metrics conflated in all post-SVB reform proposals; CLICX paradox = low UDS + high SEDC + zero regulatory coverage; behavioral correlation among insured depositors is unmeasured; FDIC 2024 RFI first step toward separating metrics; St. Louis Fed Apr 2026: US UDS returning to pre-pandemic levels while SEDC structurally rising from BaaS/neobank growth; ⚠️ contested: UDS+SEDC must be separately regulated vs. LCR/ILAAP sufficient; 2 new high-priority queue entries (Behavioral Deposit Correlation score 11, CLICX Paradox score 11)
2026-06-14	clicx-paradox-insured-correlated	quick	10	5	5	Thai banking	CLICX (KTB+AIS+OR) licensed May 14 2026; app launch June 19 2026; UDS≈0% (all retail insured) + SEDC=high (AIS platform = single run-coordination channel) + zero regulatory coverage; FSB Oct 2024: insured depositors run at 34.5% assuming independence — assumption invalid under platform correlation; BOT LCR classifies AIS deposits as 'stable retail' (3-5% run-off) vs actual potential >81%; DPA UDS metric = blind spot; ⚠️ contested: whether DI eliminates coordination incentive when coordination mechanism = acquisition channel (untested); 3 new frontier queue entries prepended (Platform Notification score 11, SEDC Metric Design score 11, NMD Calibration score 11); BOT-NBTC MOU gap identified as cross-regulator bridge
2026-06-14	behavioral-deposit-correlation-insured	quick	10	5	5	Thai banking	Core finding: platform notification pre-synchronizes depositor beliefs BEFORE individual rational updating — D&D insurance dominant strategy fails under platform synchronization; arXiv 2602.15066 (Feb 2025) = primary anchor (LLM depositor agent-based model; communication correlation = distinct exposure channel); Cookson et al. 2025 = SVB /10hr empirical anchor; ECB Supervisory Priorities 2026-28 flags NMD behavioral assumption review; ⚠️ contested: does insurance eliminate coordination motive under platform synchronization (D&D says yes; arXiv 2602.15066 says no — mechanism bypasses individual updating); 3 new frontier queue items (D&D extension score 11, PCC metric score 11, LCR 30-day score 10)
2026-06-14	institution-profile	deep	12 (6 clusters)	4	6	Thai banking / DPA policy	6 parallel subagent reports (FSA, BMF, OGS, RSS, DPD, RPA); FFIEC CAMELS Management Reform proposed May 2026, comment Aug 17, 2026 (live); SCOR/Canary/Outlier statistical CAMELS alternatives; TFRS9→DPA surveillance bridge (non-obvious cross-domain); resolution readiness gap confirmed vs IADI Sep 2025 CP; ⚠️ CAMELS backward-looking — SVB composite 2 just before failure; ⚠️ Management component reform contested; 15 graph nodes added; 5 new queue entries prepended
2026-06-14	bank-closure-simulation-comprehensive	quick	30	5	5	cross-domain	7-cluster framework: financial (Monte Carlo+copula+GAN) + physical (branches/ATMs/vaults/RE) + workforce (headcount/redundancy/key-persons) + IT (CBS/DC/payment-rails/AML) + customers (depositor DB/loan portfolio) + contracts (ISDA/licences) + resolution mechanics (P&A/bridge/liquidation/DPA cost)
2026-06-14	diamond-dybvig-platform-banking-extension	quick	10	3	5	Thai banking / DPA policy	D&D insurance dominant-strategy theorem fails when platform pre-synchronizes beliefs; arXiv 2602.15066 (Feb 2026) LLM ABM = primary anchor; SVB: standard DI insufficient for 94% uninsured → FDIC systemic risk exception required = empirical D&D departure; stablecoin extension (arXiv 2505.10997/2510.10469); ⚠️ contested: does insurance remain dominant under platform synchronization?; ⚠️ SVB intervention = ordinary D&D vs departure?; 2 new queue entries (SVB D&D Departure score 11, Stablecoin score 9); diamond-dybvig removed from queue
2026-06-14	abm-full-bank-ecosystem-simulation	quick	10	3	5	cross-domain	Parent: [[bank-closure-simulation-comprehensive]]; multi-agent architecture (depositors + borrowers + staff + regulators); Simudyne Pulse/Horizon platform (HKEX/LSEG production); BIS BCBS WP29 macroprudential stress test integration; platform run velocity calibration gap = key unresolved question; ⚠️ contested: LLM behavioral fidelity (arXiv 2501.08579 + 2506.19806 — agents "too rational", underweight loss aversion); ⚠️ supervisory adoption barrier (opaque emergent behavior hard to audit); no BOT/DPA Thai deployment; SIR↔bank contagion equivalence bridge; Axtell-Farmer paradigm; 5 new queue entries (ABM CLICX speed score 11, LLM fidelity score 9, ABM→macroprudential score 9, SIR bridge score 9, Axtell-Farmer score 9)
2026-06-14	abm-platform-bank-run-speed-clicx	quick	10	3	5	Thai banking / DPA policy	Parent: [[abm-full-bank-ecosystem-simulation]]; SVB $42B/10hr = $1M+/sec empirical upper bound; Signature $18B/1 day; AIS push notification is qualitatively different from Twitter pull — zero-latency bank-controlled mass broadcast vs. user-driven; Cookson FDIC July 2024: cashtag attention (not sentiment) → 4.3pp stock loss for high-Twitter banks; India RBI April 2025 = first +2.5% digital run-off in LCR; BOT LCR 3-5% run-off for CLICX "stable retail" structurally unsound; no calibrated ABM for push-notification platform bank at 43M scale; Atlantic Council 2024: intraday liquidity requirement needed; BCB WP465 = closest foundational ABM (no platform layer); ⚠️ contested: AIS notification causal vs. incidental; ⚠️ contested: +2.5% RBI sufficient vs. 20-50% needed; 4 new queue entries (CLICX velocity calibration score 11, RBI +2.5% score 10, Cookson score 10, intraday LCR score 9)
2026-06-14	clicx-run-velocity-calibration-framework	quick	10	3	5	Thai banking / DPA policy	Parent: [[abm-platform-bank-run-speed-clicx]]; India RBI April 2025 final = +2.5% IMB run-off (stable 5%→7.5%, less stable 10%→12.5%), effective April 2026; RBI draft was +5% → lobbied to 2.5% (no empirical basis for either number); BOT has NO equivalent; PromptPay sub-minute execution renders LCR 30-day horizon structurally inapplicable for CLICX; ECB intraday framework November 2024 = 76 requirements, binding, no BOT equivalent; OSFI Canada LAR 2025 Ch.7 = best-practice toolkit; Korea FSC/FSS = no special LCR treatment for KakaoBank/K Bank (gap by omission); BankX (SCBX+KakaoBank) inherits same gap; BOT-DPA coordination silo = no formal channel for DPA to update BOT LCR classification; ⚠️ contested: +2.5% adequate vs 20-50% needed for push bank; ⚠️ contested: Korea omission = endorsement or oversight; 4 new queue entries (PromptPay LCR inapplicability score 11, BOT-DPA silo score 11, ECB intraday model score 9, India regulatory capture score 9)
2026-06-14	promptpay-lcr-structural-inapplicability	quick	10	3	5	Thai banking / regulatory	Parent: [[clicx-run-velocity-calibration-framework]]; PromptPay scale: 24.3B transactions 2024; 74M/day; 90M registrations; max 60-second 24/7; BAHTNET (BOT RTGS) settles each individually; THB 2M/day cap × 43M AIS = THB 86T capacity vs Thai deposits ~THB 18T; 1% activation = THB 860B > CLICX launch deposit base; BOT LCR = standard 30-day no intraday no VB modification; 30-day vs 60-second = ~500× window mismatch; ECB Nov 2024 "Sound Practices" 76 requirements; EU mandate Jan+Oct 2025; instant payment paradox (RTGS pre-funding increases demand vs DNS netting); KEY FINDING: BAHTNET is BOT-operated → BOT already has real-time CLICX outflow visibility via settlement agent role; technology exists, policy activation does not; ⚠️ contested: BAHTNET ELA covers outflow but doesn't prevent run; ⚠️ contested: 60s cap as queue dampener; 3 new queue entries (BAHTNET monitor score 11, THB 2M cap math score 11, EU instant payments lessons score 9)
2026-06-14	bahtnet-bot-dpa-coordination-gap	quick	10	3	5	Thai banking / DPA policy	Parent: [[promptpay-lcr-structural-inapplicability]] + [[clicx-run-velocity-calibration-framework]]; DPA payout currently ~30 days; goal = 7 days; IADI Sep 2025 requires 5 business days — still 2 days short; BAHTNET real-time = necessary not sufficient (depositor DB readiness = binding constraint); BOT Oct 2025 Open Data = consumer data sharing NOT supervisory; no published BOT+DPA+MOF MOU; Korea 5-party MOU (2009) = best template; FSB Oct 2024: "authorities must react much more quickly to deposit outflows"; IADI: clearly specified agreements "highly desirable"; BoE RT2 May 2025 Purpose Codes+LEIs = payment enrichment model; DPA LCR input error: uses BOT 3-5% run-off for CLICX; actual may be 50%+; BAHTNET threshold design = undefined denominator; ⚠️ contested: DPA Act legal authority for BAHTNET data; ⚠️ contested: social media vs BAHTNET EWS primacy; 4 new queue entries (Safety Net MOU score 11, BAHTNET threshold score 11, DPA payout gap score 10, BoE RT2 model score 9)
2026-06-14	thailand-safety-net-mou-gap	quick	10	3	5	Thai banking / DPA policy	Parent: [[bahtnet-bot-dpa-coordination-gap]]; IMF FSAP Thailand 2019: DPA = paybox-plus under MOF, BOT FSU (2016) = internal coordination only; CRITICAL: DPA under MOF, BAHTNET at BOT = cross-ministry barrier requiring inter-ministry MOU or Cabinet decision (not BOT internal policy); IADI 2025 work priorities: actively reviewing MOU adequacy across member deposit insurers — DPA under peer scrutiny NOW; IADI Dec 2023 flagged coordination; ARC June 2025: DI+resolution alignment; APRC April 2024: novel financial crises; CLICX account reservations open June 2 = BOT has BAHTNET visibility, DPA does not; BAHTNET threshold: absolute (THB X/hour) = actionable day one; % threshold needs denominator (not known pre-launch); PromptPay cap math: THB 86T theoretical vs THB 18T Thai deposits; 1% AIS = complete CLICX depletion; DPA paybox-plus mandate vs. no real-time data pipeline; ⚠️ contested: BOT FSU vs. formal MOU; ⚠️ contested: IADI peer assessment = pressure vs. advisory; 3 new queue entries (IADI MOU review score 11, BOT-MOF legal barrier score 11, DPA paybox-plus data gap score 11)
2026-06-14	iadi-mou-review-dpa-paybox-plus-cluster	quick	10	3	5	Thai banking / DPA policy	Parent: [[thailand-safety-net-mou-gap]]; LEGAL CORRECTION from prior expansion: DPA Act B.E. 2551 already authorizes BOT→DPA info sharing "upon request" — cross-ministry barrier less absolute; DPA Board includes BOT reps; real gap = "upon request" episodic vs. IADI CP "comprehensive framework" standing requirement; BAHTNET data classification ambiguity (payment data vs. examination data under Act scope); IADI CP final November 2025: digital innovation + 2023 turmoil + resolution integration; paybox-plus global 51% (up from 36% 2014); Asia 24%; DPA Thailand ahead in mandate scope, behind in data infrastructure; IADI Global Trends Report July 2025 = benchmarking tool; FDIC 2024 RFI = US parallel; IADI peer assessment of DPA in 2026; reform path = procedural/regulatory not necessarily legislative; ⚠️ contested: "upon request" sufficient vs. IADI CP compliance; ⚠️ contested: BAHTNET data in Act scope; 2 new queue entries (DPA Act vs. IADI CP gap score 11, IADI Global Trends benchmarking score 10)
39	2026-06-15	dpa-act-upon-request-vs-iadi-comprehensive	quick	10	3	3	Thai banking / DPA policy	Parent: [[iadi-mou-review-dpa-paybox-plus-cluster]]; IADI CP 2025 exact formalization requirement: "ongoing information sharing and coordination should be explicit and formalised through legislation, regulations, MOU, or other arrangements" — four-tier ladder; DPA Act B.E. 2551: "upon request" = reactive episodic, satisfies neither "ongoing" nor "explicit and formalised"; Korea 5-party MOU (FSC+FSS+BOK+MOSF+KDIC): provides "periodic" + "non-scheduled" financial information — covers both standing AND event-driven flows; FSS-BOK MOU: "in principle unrestricted information exchange" for supervision purposes unless specifically prohibited by law — strongest available language template; MEFM inter-agency forum = macro-financial coordination body with crisis simulation exercises = structural analog of what Thailand lacks; KEY FINDING: MOU alone (without legislation or Royal Decree) can satisfy IADI CP "explicit and formalised" requirement under the "MOU" and "other arrangements" tier — reform path is procedural, not necessarily legislative; IADI 2026 Assessment Handbook -> DPA Thailand self-assessment window opens; FDIC-KDIC cross-border MOU = bilateral model; DPA Board BOT-rep composition = existing inter-agency channel, potential treaty predecessor; BAHTNET data classification (payment data vs. FI supervisory data under BOT Act 1942) = still pivotal unresolved question; contested: BOT-DPA MOU alone meets IADI comprehensive framework vs. requires formal statute; contested: Korea MEFM codified in law vs. purely administrative; 5 new queue entries (FSS-BOK template score 11, BOT Act 1942 disclosure scope score 11, formalization ladder score 10, MEFM forum score 10, IADI 2026 self-assessment score 10)
40	2026-06-15	fss-bok-unrestricted-mou-template-and-bot-act-1942-bahtnet	quick	10	3	4	Thai banking / DPA policy	Parent: [[dpa-act-upon-request-vs-iadi-comprehensive]]; FSS-BOK MOU exact clause (IMF FSAP Korea 2015 confirmed): "provides for, in principle, unrestricted information exchange for financial supervision and banking safety and soundness purposes unless specifically prohibited under the law for privacy and other applicable grounds" — directly usable as BOT-DPA MOU Article 1 template; BOT Act B.E. 2485 (1942): authorizes BOT to "administrate inter-bank clearing systems" = BAHTNET legal basis; Payment Systems Act B.E. 2560 (2017): second legal basis for BAHTNET, enacted AFTER DPA Act B.E. 2551 (2008) — temporal gap: DPA Act drafters did not contemplate Payment Systems Act data; KEY FINDING: BAHTNET data has TWO-TRACK classification problem: (1) BOT supervisory data under FIBA = clearly "FI information" under DPA Act; (2) BAHTNET operational data under BOT Act/Payment Systems Act = NOT obviously "FI information" under DPA Act — different legal basis; PDPA B.E. 2562 (2019, full effect 2022): BAHTNET individual transaction data may contain personal data → BOT-DPA sharing requires legal basis under PDPA; AGGREGATE outflow data (CLICX total outflow, not individual transactions) is likely non-personal data and PDPA-exempt; Royal Decree route: DPA Act B.E. 2551 may have Royal Decree authorization mechanism (analogous to differential premium rate authority) that could explicitly authorize BAHTNET aggregate flow sharing without full legislation; FSB Peer Review Korea 2017: reviewed MOU adequacy; CPSS-IOSCO assessment of BAHTNET (World Bank) provides data governance context; contested: whether BAHTNET participant outflow data = FI information under DPA Act; contested: PDPA exemption for BOT-as-regulator sharing vs. requires separate legal basis; 4 new queue entries (Royal Decree route score 11, Payment Systems Act temporal gap score 11, PDPA aggregate exemption score 10, FIBA two-track classification score 10)
41	2026-06-15	payment-systems-act-2560-temporal-gap-and-royal-decree-route	quick	10	3	4	Thai banking / DPA policy	Parent: [[fss-bok-unrestricted-mou-template-and-bot-act-1942-bahtnet]]; CRITICAL LEGAL FINDING: DPA Act Section 39 confirmed text: BOT or other supervisory authorities and DPA "may provide or exchange examination reports or OTHER INFORMATION REGARDING FINANCIAL INSTITUTIONS upon request in order to monitor financial institutions standings and performance"; "other information" is broader than examination reports; BAHTNET outflow data of CLICX = "information regarding [CLICX as] financial institution" = strong interpretive argument that Section 39 already covers BAHTNET data; Section 40 finding: DPA can DIRECTLY require financial institutions (including CLICX) to submit periodic or occasional confidential reports — ALTERNATIVE PATH bypassing BOT/BAHTNET entirely; Royal Decree route RULED OUT: Royal Decree authority in DPA Act is ENUMERATED specifically for (1) premium rates and (2) adding specialized FIs to coverage; NO general Royal Decree authority for information sharing exists in DPA Act; Payment Systems Act B.E. 2560 (2017): effective April 2018, gives BOT authority to collect data from payment operators "in any form"; feeds into Section 39 "other information" interpretation; payment system operator data ← BOT under PSA 2017 is "other information regarding FIs" arguably; Timeline comparison: MOU (administrative, weeks) > Royal Decree (Cabinet, 3-6 months IF authority exists — it does not) > DPA Act amendment (Parliament, 12-24 months); PDPA exemption: aggregate BAHTNET data (non-personal) bypasses PDPA entirely; contested: whether "other information" is contextually limited by ejusdem generis (same type as examination reports) vs. broadly literal; contested: Section 40 timeliness — DPA can require periodic reports but not real-time; 4 new queue entries (Section 39 scope score 11, Section 40 direct CLICX path score 11, MOU operationalization score 10, Royal Decree enumeration constraint score 10)
42	2026-06-15	dpa-act-section-39-scope-and-section-40-direct-clicx-reporting	quick	10	3	4	Thai banking / DPA policy	Parent: [[payment-systems-act-2560-temporal-gap-and-royal-decree-route]]; Section 40 exact text confirmed: "Where it is necessary in the course of monitoring a financial institution s standing and performance, the Agency is empowered to require the financial institution to submit, either periodically or occasionally, confidential reports containing particular items as specified by the Agency"; KEY FINDING: DPA already has complete legal authority under Section 40 to require CLICX to submit deposit outflow data without BOT involvement, without MOU, without DPA Act amendment; implementation = DPA Board resolution specifying items and frequency; frequency: "periodically" is not defined in Act — daily or weekly is permissible; penalty: Section 663 = up to THB 500K + THB 5K/day for non-compliance; Section 39 interpretation: IMF FSAP 2019 cited Section 39 without flagging it as restrictive; "other information regarding the financial institution" appears broad; no ejusdem generis precedent found; IMF FSAP 2019 CRITICAL PRECEDENT: explicitly recommended Thailand create "an overarching coordination body including representatives of all supervisory agencies, the DPA, and the Ministry of Finance" — Korea MEFM-equivalent; recommendation from 2019 remains UNIMPLEMENTED 7 years later; CLICX June 19 2026 launch = urgency catalyst for 2019 FSAP recommendation; World Bank CPSS-IOSCO BAHTNET assessment available; FSAP 2026 follow-up likely to evaluate whether 2019 recommendations implemented; Section 40 + IADI CP 2025: standing Board resolution specifying CLICX reporting schedule = "other arrangements" under IADI CP four-tier ladder — may independently satisfy IADI compliance without BOT MOU; contested: whether Section 40 "periodically" supports real-time vs. only batch periodic; contested: whether IMF 2019 recommendation creates IADI assessment pressure or is purely advisory; 4 new queue entries (IMF FSAP coordination body gap score 11, Section 40 launch-day activation score 11, two-track implementation score 10, FSAP 2026 follow-up score 10)
2026-06-15	imf-fsap-2019-coordination-body-and-dpa-section40-clicx-reporting	quick	imf-coordination-body-membership|imf-2025-cr-25-45-implementation-table|fidf-resolution-architecture|clicx-june19-urgency|section40-board-resolution-language|section63-penalty-enforcement	imf-2025-article-iv->unimplemented-recs->reform-timeline-compression|fidf->ela-backstop->dpa-resolution-funding|korea-mefm->thai-coordination-body-blueprint|section40-board-resolution->iadi-cp-other-arrangements|clicx-launch->urgency-catalyst	regulatory	IMF 2019 FSAP explicitly named DPA+FIDF+MAC+MOF in coordination body; CR 25/45 (concluded Feb 2026) contains implementation tracking table; CLICX June 19 = dual FSAP+IADI pressure; Section 40 board resolution needs specific language (FI name+items+frequency+first-date); Section 63 penalty adequacy contested for KTB-backed virtual bank
